maintenance_id,machine_id,maintenance_type,failure_code,work_order_open_date,work_order_close_date,downtime_hours,technician_empid,parts_consumed,resolution_notes,pm_scheduled_date,pm_completed_date,days_overdue
MNT-001249,MCH-012,UNPLANNED_REPAIR,OPERATOR_INDUCED,2023-01-02 16:00:00,2023-01-03 14:12:00,22.2,1074,Fixture clamp; Probe stylus,"Corrected setup fault, reviewed procedure with the assigned operator.",,,
MNT-000339,MCH-004,INSPECTION,,2023-01-03 15:00:00,2023-01-03 16:06:00,1.1,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000217,MCH-003,UNPLANNED_REPAIR,TOOLING,2023-01-04 06:15:00,2023-01-04 10:15:00,4.0,1051,Insert set,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-001065,MCH-011,UNPLANNED_REPAIR,TOOLING,2023-01-05 10:30:00,2023-01-06 13:30:00,27.0,1092,Collet; Tool holder; Insert set,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000801,MCH-008,INSPECTION,,2023-01-06 15:00:00,2023-01-06 15:48:00,0.8,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000149,MCH-002,INSPECTION,,2023-01-09 15:00:00,2023-01-09 16:06:00,1.1,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000900,MCH-009,INSPECTION,,2023-01-09 15:00:00,2023-01-09 16:18:00,1.3,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000123,MCH-002,UNPLANNED_REPAIR,MECHANICAL,2023-01-13 09:00:00,2023-01-14 08:54:00,23.9,1037,Ball screw; Spindle bearing; Way cover,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-000608,MCH-007,UNPLANNED_REPAIR,ELECTRICAL,2023-01-13 14:15:00,2023-01-13 19:27:00,5.2,1051,Contactor; Servo amplifier,"Repaired electrical fault, tested control response through full axis travel.",,,
MNT-001291,MCH-012,INSPECTION,,2023-01-14 15:00:00,2023-01-14 16:30:00,1.5,1092,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000700,MCH-007,INSPECTION,,2023-01-15 15:00:00,2023-01-15 16:30:00,1.5,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000968,MCH-010,UNPLANNED_REPAIR,MECHANICAL,2023-01-15 17:45:00,2023-01-16 08:45:00,15.0,1037,Ball screw; Way cover,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-000442,MCH-005,INSPECTION,,2023-01-16 15:00:00,2023-01-16 15:42:00,0.7,1074,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000540,MCH-006,INSPECTION,,2023-01-16 15:00:00,2023-01-16 15:48:00,0.8,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-001066,MCH-011,UNPLANNED_REPAIR,TOOLING,2023-01-17 11:00:00,2023-01-18 18:42:00,31.7,1092,Collet; Insert set; Tool holder,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000407,MCH-005,UNPLANNED_REPAIR,ELECTRICAL,2023-01-18 19:30:00,2023-01-18 23:48:00,4.3,1051,Contactor,"Repaired electrical fault, tested control response through full axis travel.",,,
MNT-000609,MCH-007,UNPLANNED_REPAIR,MECHANICAL,2023-01-19 08:45:00,2023-01-19 18:27:00,9.7,1037,Way cover; Drive belt,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-001037,MCH-011,PLANNED_PM,,2023-01-20 07:00:00,2023-01-20 11:12:00,4.2,1051,Way lube,Completed scheduled preventive maintenance per equipment checklist.,2023-01-25,2023-01-20,-5.0
MNT-000285,MCH-004,PLANNED_PM,,2023-01-21 07:00:00,2023-01-21 11:00:00,4.0,1037,Air filter; Way lube,Completed scheduled preventive maintenance per equipment checklist.,2023-01-21,2023-01-21,0.0
MNT-000841,MCH-009,PLANNED_PM,,2023-01-21 07:00:00,2023-01-21 11:42:00,4.7,1074,Coolant filter,Completed scheduled preventive maintenance per equipment checklist.,,2023-01-21,
MNT-001182,MCH-011,INSPECTION,,2023-01-24 15:00:00,2023-01-24 16:00:00,1.0,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000056,MCH-001,INSPECTION,,2023-01-25 15:00:00,2023-01-25 16:00:00,1.0,1092,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000313,MCH-004,UNPLANNED_REPAIR,ENVIRONMENTAL,2023-01-25 16:45:00,2023-01-25 22:03:00,5.3,1092,Seal kit,"Cleared coolant and filtration issue, restored fluid levels to spec.",,,
MNT-000379,MCH-005,PLANNED_PM,,2023-01-26 07:00:00,2023-01-26 11:54:00,4.9,1074,Way lube; Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-01-28,2023-01-26,-2.0
