work_order_id,machine_id,operator_empid,part_number,customer_id,scheduled_start,scheduled_end,actual_start,actual_end,scheduled_hours,actual_hours,setup_hours_actual,job_status,material_type
WO-100000,MCH-002,1025,97841-05,CUST-03,2023-01-02 06:45:00,2023-01-02 11:39:00,2023-01-02 07:24:00,2023-01-02 13:14:24,4.9,5.3,0.54,COMPLETE,Steel
WO-100001,MCH-011,1025,57400-10,CUST-02,2023-01-02 06:00:00,2023-01-02 08:18:00,2023-01-02 06:40:00,2023-01-02 09:35:48,2.3,2.5,0.43,COMPLETE,Aluminum
WO-100002,MCH-004,1005,80381-05,CUST-04,2023-01-02 15:30:00,2023-01-02 17:06:00,2023-01-02 15:05:00,2023-01-02 17:17:36,1.6,1.6,0.61,COMPLETE,Stainless
WO-100003,MCH-011,1078,17100-11,CUST-04,2023-01-02 14:00:00,2023-01-02 19:12:00,2023-01-02 13:39:00,,5.2,,0.35,ON_HOLD,Steel
WO-100004,MCH-003,1071,42271-10,CUST-04,2023-01-02 06:30:00,2023-01-02 11:18:00,2023-01-02 06:26:00,2023-01-02 12:33:12,4.8,5.6,0.52,COMPLETE,Steel
WO-100005,MCH-006,1078,71348-09,CUST-06,2023-01-02 14:45:00,2023-01-02 19:45:00,2023-01-02 14:18:00,2023-01-02 20:05:24,5.0,5.4,0.39,COMPLETE,Aluminum
WO-100006,MCH-007,1025,52504-01,CUST-05,2023-01-02 06:15:00,2023-01-02 07:51:00,2023-01-02 06:43:00,2023-01-02 09:00:24,1.6,1.7,0.59,COMPLETE,Aluminum
WO-100007,MCH-004,1088,40007-02,CUST-04,2023-01-03 07:30:00,2023-01-03 17:30:00,2023-01-03 08:22:00,2023-01-03 18:31:36,10.0,9.7,0.46,COMPLETE,Stainless
WO-100008,MCH-009,1096,40512-02,CUST-04,2023-01-03 14:00:00,2023-01-03 17:30:00,2023-01-03 14:46:00,2023-01-03 19:26:12,3.5,4.3,0.37,COMPLETE,Aluminum
WO-100009,MCH-006,1031,54313-01,CUST-05,2023-01-03 14:45:00,2023-01-03 16:09:00,2023-01-03 14:15:00,2023-01-03 16:03:36,1.4,1.5,0.31,COMPLETE,Steel
WO-100010,MCH-011,1071,63354-04,CUST-02,2023-01-03 06:30:00,2023-01-03 10:42:00,2023-01-03 07:04:00,2023-01-03 11:16:36,4.2,3.8,0.41,COMPLETE,Aluminum
WO-100011,MCH-007,1078,44718-03,CUST-01,2023-01-03 14:30:00,2023-01-03 19:18:00,2023-01-03 14:51:00,2023-01-03 19:58:48,4.8,4.7,0.43,COMPLETE,Aluminum
WO-100012,MCH-005,1009,42271-10,CUST-03,2023-01-03 07:15:00,2023-01-03 12:03:00,2023-01-03 08:09:00,2023-01-03 14:03:00,4.8,5.6,0.3,COMPLETE,Steel
WO-100013,MCH-011,1031,71348-09,CUST-08,2023-01-03 14:15:00,2023-01-03 19:15:00,2023-01-03 13:48:00,2023-01-03 20:10:12,5.0,5.9,0.47,COMPLETE,Aluminum
WO-100014,MCH-010,1054,38080-09,CUST-01,2023-01-03 07:15:00,2023-01-03 17:57:00,2023-01-03 07:03:00,2023-01-03 18:56:24,10.7,11.5,0.39,COMPLETE,Aluminum
