event_id,machine_id,event_timestamp,shift,machine_state,state_duration_minutes,operator_id,spindle_utilization_pct,alarm_code
EVT-00000001,MCH-001,2023-01-02 06:00:00,A,RUNNING,15,1067,88.3,
EVT-00000002,MCH-001,2023-01-02 06:15:00,A,RUNNING,15,1067,92.4,
EVT-00000003,MCH-001,2023-01-02 06:30:00,A,RUNNING,15,1067,90.5,
EVT-00000004,MCH-001,2023-01-02 06:45:00,A,RUNNING,15,1067,87.5,
EVT-00000005,MCH-001,2023-01-02 07:00:00,A,RUNNING,15,1067,90.0,
EVT-00000006,MCH-001,2023-01-02 07:15:00,A,RUNNING,15,1067,94.7,
EVT-00000007,MCH-001,2023-01-02 07:30:00,A,RUNNING,15,1067,85.2,
EVT-00000008,MCH-001,2023-01-02 07:45:00,A,RUNNING,15,1067,83.8,
EVT-00000009,MCH-001,2023-01-02 08:00:00,A,RUNNING,15,1067,89.1,
EVT-00000010,MCH-001,2023-01-02 08:15:00,A,RUNNING,15,1067,88.3,
EVT-00000011,MCH-001,2023-01-02 08:30:00,A,RUNNING,15,1067,87.3,
EVT-00000012,MCH-001,2023-01-02 08:45:00,A,SETUP,15,1067,,
EVT-00000013,MCH-001,2023-01-02 09:00:00,A,RUNNING,15,1067,91.3,
EVT-00000014,MCH-001,2023-01-02 09:15:00,A,RUNNING,15,1067,96.8,
EVT-00000015,MCH-001,2023-01-02 09:30:00,A,RUNNING,15,1067,94.4,
EVT-00000016,MCH-001,2023-01-02 09:45:00,A,RUNNING,15,1067,88.1,
EVT-00000017,MCH-001,2023-01-02 10:00:00,A,SETUP,15,1067,,
EVT-00000018,MCH-001,2023-01-02 10:15:00,A,RUNNING,15,1067,82.7,
EVT-00000019,MCH-001,2023-01-02 10:30:00,A,RUNNING,15,1067,92.2,
EVT-00000020,MCH-001,2023-01-02 10:45:00,A,RUNNING,15,1067,82.7,
EVT-00000021,MCH-001,2023-01-02 11:00:00,A,RUNNING,15,1067,88.4,
EVT-00000022,MCH-001,2023-01-02 11:15:00,A,RUNNING,15,1067,87.4,
EVT-00000023,MCH-001,2023-01-02 11:30:00,A,RUNNING,15,1067,92.0,
EVT-00000024,MCH-001,2023-01-02 11:45:00,A,RUNNING,15,1067,90.6,
EVT-00000025,MCH-001,2023-01-02 12:00:00,A,RUNNING,15,1067,85.7,
EVT-00000026,MCH-001,2023-01-02 12:15:00,A,RUNNING,15,1067,85.3,
EVT-00000027,MCH-001,2023-01-02 12:30:00,A,RUNNING,15,1067,87.6,
EVT-00000028,MCH-001,2023-01-02 12:45:00,A,RUNNING,15,1067,100.0,
EVT-00000029,MCH-001,2023-01-02 13:00:00,A,RUNNING,15,1067,92.7,
EVT-00000030,MCH-001,2023-01-02 13:15:00,A,RUNNING,15,1067,96.0,
EVT-00000031,MCH-001,2023-01-02 13:30:00,A,RUNNING,15,1067,96.0,
EVT-00000032,MCH-001,2023-01-02 13:45:00,A,RUNNING,15,1067,88.4,
EVT-00000033,MCH-002,2023-01-02 06:00:00,A,RUNNING,15,1071,88.5,
EVT-00000034,MCH-002,2023-01-02 06:15:00,A,RUNNING,15,1071,84.3,
EVT-00000035,MCH-002,2023-01-02 06:30:00,A,RUNNING,15,1071,87.5,
EVT-00000036,MCH-002,2023-01-02 06:45:00,A,SETUP,15,1071,,
EVT-00000037,MCH-002,2023-01-02 07:00:00,A,RUNNING,15,1071,91.3,
EVT-00000038,MCH-002,2023-01-02 07:15:00,A,RUNNING,15,1071,85.1,
EVT-00000039,MCH-002,2023-01-02 07:30:00,A,IDLE,15,1071,,
EVT-00000040,MCH-002,2023-01-02 07:45:00,A,RUNNING,15,1071,83.7,
EVT-00000041,MCH-002,2023-01-02 08:00:00,A,RUNNING,15,1071,88.0,
EVT-00000042,MCH-002,2023-01-02 08:15:00,A,RUNNING,15,1071,94.3,
EVT-00000043,MCH-002,2023-01-02 08:30:00,A,RUNNING,15,1071,91.9,
EVT-00000044,MCH-002,2023-01-02 08:45:00,A,RUNNING,15,1071,84.9,
EVT-00000045,MCH-002,2023-01-02 09:00:00,A,ALARM,15,1071,,ALM-3001 Overtravel Limit
EVT-00000046,MCH-002,2023-01-02 09:15:00,A,RUNNING,15,1071,88.2,
EVT-00000047,MCH-002,2023-01-02 09:30:00,A,RUNNING,15,1071,77.9,
EVT-00000048,MCH-002,2023-01-02 09:45:00,A,RUNNING,15,1071,85.0,
EVT-00000049,MCH-002,2023-01-02 10:00:00,A,RUNNING,15,1071,81.8,
EVT-00000050,MCH-002,2023-01-02 10:15:00,A,RUNNING,15,1071,84.1,
EVT-00000051,MCH-002,2023-01-02 10:30:00,A,RUNNING,15,1071,88.6,
EVT-00000052,MCH-002,2023-01-02 10:45:00,A,SETUP,15,1071,,
EVT-00000053,MCH-002,2023-01-02 11:00:00,A,RUNNING,15,1071,95.7,
EVT-00000054,MCH-002,2023-01-02 11:15:00,A,RUNNING,15,1071,94.7,
EVT-00000055,MCH-002,2023-01-02 11:30:00,A,RUNNING,15,1071,85.6,
EVT-00000056,MCH-002,2023-01-02 11:45:00,A,RUNNING,15,1071,91.4,
EVT-00000057,MCH-002,2023-01-02 12:00:00,A,RUNNING,15,1071,86.5,
EVT-00000058,MCH-002,2023-01-02 12:15:00,A,SETUP,15,1071,,
EVT-00000059,MCH-002,2023-01-02 12:30:00,A,RUNNING,15,1071,80.0,
EVT-00000060,MCH-002,2023-01-02 12:45:00,A,RUNNING,15,1071,93.4,
EVT-00000061,MCH-002,2023-01-02 13:00:00,A,RUNNING,15,1071,92.2,
EVT-00000062,MCH-002,2023-01-02 13:15:00,A,RUNNING,15,1071,89.4,
EVT-00000063,MCH-002,2023-01-02 13:30:00,A,RUNNING,15,1071,92.5,
