reading_date,machine_id,vibration_rms_mm_s,bearing_temp_c,spindle_power_kw,hydraulic_pressure_bar
2023-01-02,MCH-001,1.23,41.2,4.86,119.3
2023-01-03,MCH-001,1.26,42.9,4.78,115.1
2023-01-04,MCH-001,1.3,41.2,5.13,117.9
2023-01-05,MCH-001,1.19,42.6,5.41,119.4
2023-01-06,MCH-001,1.22,42.2,5.75,115.6
2023-01-07,MCH-001,1.18,44.6,4.52,120.3
2023-01-09,MCH-001,1.06,43.7,4.96,116.1
2023-01-10,MCH-001,1.15,43.1,5.75,119.1
2023-01-11,MCH-001,1.26,43.2,5.06,115.6
2023-01-12,MCH-001,1.02,45.2,5.3,118.5
2023-01-13,MCH-001,1.12,44.5,5.28,119.5
2023-01-14,MCH-001,1.41,45.2,4.83,116.2
2023-01-16,MCH-001,0.99,43.1,4.75,116.3
2023-01-17,MCH-001,1.22,41.5,5.34,115.8
2023-01-18,MCH-001,1.16,43.3,4.77,117.5
2023-01-19,MCH-001,1.26,44.8,5.51,109.6
2023-01-20,MCH-001,1.45,43.8,5.48,115.1
2023-01-21,MCH-001,1.34,46.3,5.16,116.9
2023-01-23,MCH-001,1.67,48.7,5.0,113.2
2023-01-24,MCH-001,1.9,50.6,5.93,118.3
2023-01-25,MCH-001,1.96,51.0,5.3,117.1
2023-01-26,MCH-001,1.99,52.1,5.24,115.8
2023-01-27,MCH-001,2.27,54.0,5.11,119.4
2023-01-28,MCH-001,2.34,55.8,5.16,122.7
2023-01-30,MCH-001,2.69,59.1,4.97,116.9
2023-01-31,MCH-001,2.74,60.5,5.02,118.0
2023-02-01,MCH-001,2.77,58.8,5.55,113.5
2023-02-02,MCH-001,3.04,61.4,5.53,116.0
2023-02-03,MCH-001,3.27,61.9,5.26,117.3
2023-02-04,MCH-001,3.35,64.9,5.27,123.7
2023-02-06,MCH-001,3.71,68.8,5.45,118.8
2023-02-07,MCH-001,3.69,66.9,5.48,117.7
2023-02-08,MCH-001,4.0,69.3,4.88,118.8
2023-02-09,MCH-001,3.93,69.4,5.3,117.0
2023-02-10,MCH-001,4.38,71.7,5.54,116.6
2023-02-11,MCH-001,4.37,73.6,5.09,115.7
2023-02-13,MCH-001,4.59,76.1,5.31,115.7
2023-02-14,MCH-001,4.67,75.6,5.4,119.5
2023-02-15,MCH-001,4.85,80.8,5.3,115.8
2023-02-16,MCH-001,1.12,43.7,4.97,117.0
2023-02-17,MCH-001,1.15,45.5,5.6,119.2
2023-02-18,MCH-001,1.13,42.5,4.91,117.8
2023-02-20,MCH-001,1.2,42.6,5.35,117.0
2023-02-21,MCH-001,1.21,43.7,5.69,114.8
2023-02-22,MCH-001,1.21,43.0,4.62,119.3
2023-02-23,MCH-001,1.32,45.2,4.57,117.5
2023-02-24,MCH-001,1.18,43.7,5.42,119.4
2023-02-25,MCH-001,1.1,41.6,5.06,116.5
2023-02-27,MCH-001,1.25,43.3,4.89,115.8
2023-02-28,MCH-001,1.22,41.2,5.03,113.9
2023-03-01,MCH-001,1.16,42.4,5.25,118.8
2023-03-02,MCH-001,1.23,43.2,4.69,118.3
2023-03-03,MCH-001,1.09,42.6,4.95,117.1
2023-03-04,MCH-001,1.12,43.6,4.91,118.8
2023-03-06,MCH-001,1.05,42.8,5.47,116.0
2023-03-07,MCH-001,1.18,42.5,5.08,118.5
2023-03-08,MCH-001,1.22,43.4,4.89,120.3
2023-03-09,MCH-001,1.12,43.5,5.25,117.3
2023-03-10,MCH-001,1.3,42.8,5.03,121.3
2023-03-11,MCH-001,1.12,44.1,4.96,117.0
2023-03-13,MCH-001,1.16,43.0,4.98,117.3
2023-03-14,MCH-001,1.02,42.2,5.48,118.1
