feature,mean_abs_shap
days_since_last_unplanned_failure,4.839938
sensor_anomaly_score,2.7641563
machine_age_years,2.706816
vibration_7d_mean,1.7546085
rolling_30d_utilization_rate,0.7475035
bearing_temp_7d_mean,0.5688108
spindle_power_7d_mean,0.4607984
rolling_7d_unplanned_downtime_hours,0.43503755
count_late_pms_last_6m,0.38639644
bearing_temp_anomaly,0.35945714
machine_type,0.3443693
rolling_30d_alarm_count,0.3277432
vibration_anomaly,0.28190258
hydraulic_pressure_7d_mean,0.25947264
spindle_power_anomaly,0.25774595
is_aging_machine,0.2572343
last_failure_mode,0.19267462
days_since_last_pm,0.16033447
rolling_7d_alarm_count,0.118027285
hydraulic_pressure_anomaly,0.042879447
controller_type,0.0
shift,0.0
days_overdue_for_pm,0.0
is_pm_overdue,0.0
is_high_alarm_rate,0.0
is_shift_b_transition,0.0
is_sensor_anomaly,0.0
